
###############################
COMPAS, ONLY_PANDAS, PURE_RUN, 100000, CTE, NON-MATERIALIZED, Umbra, 39.49333333333333, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000000, CTE, NON-MATERIALIZED, Pandas, 5106.347921333509, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000000, CTE, NON-MATERIALIZED, PostgreSQL, 12935.745666666664, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000000, CTE, NON-MATERIALIZED, Umbra, 758.758, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000000, CTE, NON-MATERIALIZED, Pandas, 51549.16400666601, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000000, CTE, NON-MATERIALIZED, PostgreSQL, 127092.98333333334, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000000, CTE, NON-MATERIALIZED, Umbra, 7698.283, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]

###############################
COMPAS, ONLY_PANDAS, PURE_RUN, 100, VIEW, NON-MATERIALIZED, Pandas, 5.495041667018086, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 100, VIEW, NON-MATERIALIZED, PostgreSQL, 0.443, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 100, VIEW, NON-MATERIALIZED, Umbra, 0.7333333333333333, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000, VIEW, NON-MATERIALIZED, Pandas, 11.781820998294279, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000, VIEW, NON-MATERIALIZED, PostgreSQL, 4.122, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000, VIEW, NON-MATERIALIZED, Umbra, 7.150666666666666, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000, VIEW, NON-MATERIALIZED, Pandas, 60.43488966436902, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000, VIEW, NON-MATERIALIZED, PostgreSQL, 40.58566666666667, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000, VIEW, NON-MATERIALIZED, Umbra, 8.280333333333335, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 100000, VIEW, NON-MATERIALIZED, Pandas, 291.7785636673216, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 100000, VIEW, NON-MATERIALIZED, PostgreSQL, 218.27366666666663, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 100000, VIEW, NON-MATERIALIZED, Umbra, 39.78966666666667, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_100000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_100000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000000, VIEW, NON-MATERIALIZED, Pandas, 5465.203207999973, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000000, VIEW, NON-MATERIALIZED, PostgreSQL, 3962.625, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 1000000, VIEW, NON-MATERIALIZED, Umbra, 781.157, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_1000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_1000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000000, VIEW, NON-MATERIALIZED, Pandas, 54906.76683399943, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000000, VIEW, NON-MATERIALIZED, PostgreSQL, 21990.519, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]
COMPAS, ONLY_PANDAS, PURE_RUN, 10000000, VIEW, NON-MATERIALIZED, Umbra, 7847.902, [PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_train_generated_10000000.csv'); PosixPath('/home/luca/Documents/Bachelorarbeit/mlinspect/example_to_sql/data_generation/generated_csv/compas_test_generated_10000000.csv')]

